storage_id,mode,delay_ms,workers,trial_index,worker_id,operation_index,lease_id,warden_ns,claim_ns,application_ns,unattributed_ns,end_to_end_ns
storage-0,enforce,0.0,1,1,0,7,lease_22693da5746b4f9b882875915b86a4f0,14166500,10721000,300,1100,24888900
storage-0,enforce,0.0,1,1,0,8,lease_22693da5746b4f9b882875915b86a4f0,13917500,10551500,400,1600,24471000
storage-0,enforce,0.0,1,1,0,9,lease_22693da5746b4f9b882875915b86a4f0,13546800,10630900,300,1200,24179200
storage-0,enforce,0.0,1,1,0,10,lease_22693da5746b4f9b882875915b86a4f0,14224700,10404100,300,1000,24630100
storage-0,enforce,0.0,1,1,0,11,lease_22693da5746b4f9b882875915b86a4f0,14018100,10114300,400,1300,24134100
storage-0,enforce,0.0,1,1,0,12,lease_22693da5746b4f9b882875915b86a4f0,13654700,10096500,300,1100,23752600
storage-0,enforce,0.0,1,1,0,13,lease_22693da5746b4f9b882875915b86a4f0,15304700,10897600,300,1300,26203900
storage-0,enforce,0.0,1,1,0,14,lease_22693da5746b4f9b882875915b86a4f0,13663000,9676800,300,1800,23341900
storage-0,enforce,0.0,1,1,0,15,lease_22693da5746b4f9b882875915b86a4f0,13690600,10052100,200,1100,23744000
storage-0,enforce,0.0,1,1,0,16,lease_22693da5746b4f9b882875915b86a4f0,13191000,10232100,500,1000,23424600
storage-0,enforce,0.0,1,1,0,17,lease_22693da5746b4f9b882875915b86a4f0,14694200,10818700,300,1200,25514400
storage-0,enforce,0.0,1,1,0,18,lease_22693da5746b4f9b882875915b86a4f0,14446000,10451700,300,1100,24899100
storage-0,enforce,0.0,1,1,0,19,lease_22693da5746b4f9b882875915b86a4f0,15949600,10247900,200,1300,26199000
storage-0,enforce,0.0,1,1,0,20,lease_22693da5746b4f9b882875915b86a4f0,14992300,10053000,300,1200,25046800
storage-0,enforce,0.0,1,1,0,21,lease_22693da5746b4f9b882875915b86a4f0,14220600,10010600,500,1200,24232900
storage-0,enforce,0.0,1,1,0,22,lease_22693da5746b4f9b882875915b86a4f0,13922100,11370700,400,1200,25294400
storage-0,enforce,0.0,1,1,0,23,lease_22693da5746b4f9b882875915b86a4f0,14273800,10546300,500,1500,24822100
storage-0,enforce,0.0,1,1,0,24,lease_22693da5746b4f9b882875915b86a4f0,14399400,10539900,700,1700,24941700
storage-0,enforce,0.0,1,1,0,25,lease_22693da5746b4f9b882875915b86a4f0,14010900,10455800,300,1300,24468300
storage-0,enforce,0.0,1,1,0,26,lease_22693da5746b4f9b882875915b86a4f0,14624700,10197600,300,1000,24823600
storage-0,enforce,0.0,1,1,0,27,lease_22693da5746b4f9b882875915b86a4f0,14402800,10067400,400,1800,24472400
storage-0,enforce,0.0,1,1,0,28,lease_22693da5746b4f9b882875915b86a4f0,14475800,10329000,300,1000,24806100
storage-0,enforce,0.0,1,1,0,29,lease_22693da5746b4f9b882875915b86a4f0,14039000,10582300,200,1200,24622700
storage-0,enforce,0.0,1,1,0,30,lease_22693da5746b4f9b882875915b86a4f0,14550500,10234900,500,1400,24787300
